url,domain,cmp_detected,tracker_count,non_essential_cookies_before_interaction,long_lived_cookies_count,has_privacy_policy,is_hosting,uses_major_cloud_cdn,reject_works
https://pagesjaunes.fr,pagesjaunes.fr,none,8.0,9.0,4.0,True,True,True,False
https://manchester.ac.uk,manchester.ac.uk,onetrust,7.0,0.0,0.0,True,True,False,False
https://ons.gov.uk,ons.gov.uk,none,4.0,1.0,0.0,True,True,False,True
https://ebay.fr,ebay.fr,none,10.0,24.0,2.0,True,False,True,False
https://allocine.fr,allocine.fr,didomi,26.0,5.0,0.0,True,True,True,False
https://imperial.ac.uk,imperial.ac.uk,onetrust,11.0,5.0,0.0,True,False,False,False
https://thomann.de,thomann.de,none,4.0,2.0,0.0,True,False,False,False
https://alice.it,alice.it,onetrust,25.0,11.0,3.0,True,True,True,False
https://rainews.it,rainews.it,none,25.0,4.0,0.0,False,False,False,False
https://doctolib.fr,doctolib.fr,didomi,8.0,6.0,1.0,True,True,False,True
https://sudouest.fr,sudouest.fr,didomi,16.0,13.0,3.0,True,True,False,False
https://lloydsbank.co.uk,lloydsbank.co.uk,none,24.0,19.0,3.0,True,True,True,True
https://kaufland.de,kaufland.de,onetrust,6.0,14.0,0.0,True,True,True,False
https://carrefour.fr,carrefour.fr,onetrust,10.0,9.0,0.0,True,True,True,False
https://rtl.fr,rtl.fr,didomi,9.0,5.0,3.0,True,False,False,False
https://pinterest.co.uk,pinterest.co.uk,none,11.0,6.0,1.0,True,True,True,True
https://credit-agricole.fr,credit-agricole.fr,trustcommander,8.0,7.0,1.0,True,False,False,False
https://kcl.ac.uk,kcl.ac.uk,onetrust,8.0,1.0,0.0,True,False,False,False
https://rtl.de,rtl.de,sourcepoint,11.0,1.0,0.0,True,True,False,True
https://tiscali.it,tiscali.it,iubenda,22.0,8.0,2.0,True,False,False,False
https://sonnenbatterie.de,sonnenbatterie.de,usercentrics,21.0,2.0,0.0,True,True,False,True
https://meteociel.fr,meteociel.fr,none,7.0,3.0,1.0,True,True,False,False
https://vodafone.de,vodafone.de,none,4.0,16.0,3.0,True,True,False,False
https://louvre.fr,louvre.fr,none,5.0,7.0,3.0,True,False,False,False
https://ilmessaggero.it,ilmessaggero.it,iubenda,35.0,4.0,0.0,True,True,True,False
https://xplosion.de,xplosion.de,none,7.0,0.0,0.0,True,True,False,True
https://raiplay.it,raiplay.it,none,13.0,1.0,0.0,True,False,False,False
https://mediamarkt.de,mediamarkt.de,none,12.0,9.0,1.0,False,True,True,True
https://obi.de,obi.de,usercentrics,15.0,7.0,0.0,True,True,False,False
https://tf1info.fr,tf1info.fr,onetrust,14.0,8.0,5.0,False,True,False,False
https://goneo.de,goneo.de,none,4.0,1.0,0.0,True,False,False,True
https://inria.fr,inria.fr,none,5.0,1.0,0.0,True,False,False,True
https://ilgiornale.it,ilgiornale.it,fundingchoices,35.0,15.0,3.0,True,True,False,False
https://letelegramme.fr,letelegramme.fr,didomi,15.0,4.0,1.0,True,True,False,False
https://decathlon.fr,decathlon.fr,didomi,10.0,5.0,0.0,True,True,True,True
https://spdns.de,spdns.de,none,2.0,2.0,0.0,True,False,False,True
https://tate.org.uk,tate.org.uk,didomi,18.0,5.0,4.0,True,True,True,True
https://lavoixdunord.fr,lavoixdunord.fr,didomi,22.0,4.0,3.0,True,False,False,False
https://ilpost.it,ilpost.it,iubenda,18.0,7.0,3.0,True,True,False,True
https://journaldesfemmes.fr,journaldesfemmes.fr,quantcast,25.0,2.0,1.0,False,False,False,False
https://lidl.de,lidl.de,onetrust,10.0,1.0,0.0,True,True,False,True
https://tui.co.uk,tui.co.uk,cookie notice,19.0,17.0,2.0,True,False,False,False
https://manchestereveningnews.co.uk,manchestereveningnews.co.uk,cookie notice,29.0,6.0,1.0,True,True,False,False
https://midilibre.fr,midilibre.fr,didomi,14.0,4.0,2.0,False,False,False,False
https://tf1.fr,tf1.fr,didomi,11.0,10.0,2.0,True,True,False,True
https://schwaebische.de,schwaebische.de,none,7.0,3.0,0.0,True,True,True,True
https://fussball.de,fussball.de,usercentrics,13.0,0.0,0.0,True,True,False,True
https://cnews.fr,cnews.fr,didomi,6.0,2.0,0.0,True,True,True,False
https://dm.de,dm.de,usercentrics,20.0,7.0,0.0,True,True,True,True
https://uni-frankfurt.de,uni-frankfurt.de,klaro,1.0,0.0,0.0,True,False,False,True
https://lanouvellerepublique.fr,lanouvellerepublique.fr,didomi,27.0,6.0,3.0,True,True,False,False
https://comdirect.de,comdirect.de,none,2.0,2.0,0.0,True,False,False,True
https://giallozafferano.it,giallozafferano.it,cookiebot,22.0,4.0,0.0,True,True,False,False
https://ancestry.co.uk,ancestry.co.uk,none,9.0,11.0,5.0,True,True,True,False
https://nordkurier.de,nordkurier.de,none,7.0,3.0,0.0,True,True,True,True
https://sport.de,sport.de,sourcepoint,20.0,4.0,0.0,True,True,False,True
https://hornbach.de,hornbach.de,usercentrics,13.0,4.0,0.0,True,True,True,True
https://virgilio.it,virgilio.it,osano,19.0,2.0,0.0,True,False,False,False
https://but.fr,but.fr,didomi,13.0,10.0,2.0,True,True,False,True
https://taz.de,taz.de,none,4.0,2.0,1.0,True,False,False,False
https://ilmattino.it,ilmattino.it,iubenda,37.0,4.0,0.0,True,True,True,False
https://lexpress.fr,lexpress.fr,didomi,24.0,15.0,5.0,True,True,False,False
https://auchan.fr,auchan.fr,onetrust,8.0,12.0,3.0,True,True,True,True
https://bfv.de,bfv.de,usercentrics,21.0,5.0,0.0,True,True,False,True
https://aol.de,aol.de,didomi,22.0,12.0,0.0,True,True,False,False
https://york.ac.uk,york.ac.uk,none,13.0,8.0,2.0,True,False,False,True
https://parliament.uk,parliament.uk,none,7.0,1.0,0.0,True,True,False,True
https://lindependant.fr,lindependant.fr,didomi,16.0,4.0,2.0,False,False,False,False
https://creditmutuel.fr,creditmutuel.fr,none,6.0,4.0,3.0,True,False,False,True
https://huffingtonpost.it,huffingtonpost.it,iubenda,24.0,7.0,3.0,True,True,False,False
https://borsaitaliana.it,borsaitaliana.it,none,22.0,3.0,2.0,True,True,True,False
