page,rank,total_requests,num_domains,page_weight
https://m.happymh.com/,1000,47,8,1541565
https://m.humoruniv.com/,1000,58,9,687622
https://m.imdb.com/,1000,1443,202,3492198
https://m.inven.co.kr/,1000,213,28,7843186
https://m.naver.com/,1000,194,12,7078965
https://m.ppomppu.co.kr/,1000,230,41,2676044
https://m.ruliweb.com/,1000,281,68,8671745
https://m.shein.com/,1000,509,81,7597725
https://m.sports.naver.com/,1000,100,11,3465386
https://mahresult.nic.in/,1000,8,1,375502
https://mail.ru/,1000,298,48,6317205
https://mail.yahoo.com/,1000,10,3,623115
https://manga168.com/,1000,134,17,25018906
https://mangabuddy.com/,1000,39,17,1088064
https://mangatoto.com/,1000,247,28,15141393
https://manhuatop.org/,1000,67,4,775138
https://manhwaclan.com/,1000,628,177,3031827
https://mat6tube.com/,1000,30,8,234134
https://mechacomic.jp/,1000,299,30,6452563
https://medium.com/,1000,48,14,1257640
https://member.sss.gov.ph/,1000,69,5,4109039
https://missav.com/,1000,43,7,694877
https://mlbpark.donga.com/,1000,166,42,2953420
https://mobile-tracker-free.com/,1000,27,7,5600944
https://motherless.com/,1000,329,24,5288828
https://myactivity.google.com/,1000,21,6,476994
https://ndtv.in/,1000,1245,283,10308567
https://nettruyencc.com/,1000,104,7,3155034
https://news.goo.ne.jp/,1000,646,152,4811720
https://news.google.com/,1000,181,14,3372614
https://news.livedoor.com/,1000,171,53,1795840
https://news.yahoo.co.jp/,1000,167,20,1942078
https://nhentai.net/,1000,43,15,1125046
https://nl.pornhub.com/,1000,104,15,1441669
https://noodlemagazine.com/,1000,28,7,223779
https://nos.nl/,1000,102,15,1732408
https://nregastrep.nic.in/,1000,8,1,193266
https://nypost.com/,1000,996,269,5822305
https://nz.ua/,1000,57,8,1405241
https://one.google.com/,1000,73,9,3659520
https://onlyfans.com/,1000,149,8,5090552
https://open.spotify.com/,1000,263,46,6220648
https://people.com/,1000,951,205,3110900
https://persona.patria.org.ve/,1000,28,1,326284
https://piccoma.com/,1000,260,70,3173195
https://pikabu.ru/,1000,163,37,4449091
https://pixabay.com/,1000,98,12,4445266
https://pl.escort.club/,1000,61,8,2261157
https://pl.pornhub.com/,1000,108,17,2504612
https://pl.xhamster.com/,1000,106,19,2164108
https://play.blooket.com/,1000,26,4,571892
https://play.google.com/,1000,113,9,3481458
https://poczta.wp.pl/,1000,72,11,1061377
https://poki.com/,1000,298,4,986843
https://portal.librus.pl/,1000,49,2,1990562
https://pt.pornhub.com/,1000,113,18,3063563
https://pubmed.ncbi.nlm.nih.gov/,1000,48,8,636860
https://quizizz.com/,1000,171,30,3582196
https://retail.onlinesbi.sbi/,1000,55,2,3163801
https://rezka.ag/,1000,188,33,5360024
https://rt.pornhub.com/,1000,107,18,2447918
https://ru.xhamster.com/,1000,117,19,2370316
https://rule34.xxx/,1000,18,2,137245
https://rule34video.com/,1000,51,4,538390
https://s.mogg.ameba.jp/,1000,28,4,397859
https://salonboard.com/,1000,119,29,5804187
https://scholar.google.com/,1000,5,1,65397
https://screenrant.com/,1000,67,13,1154349
https://search.yahoo.co.jp/,1000,34,4,678883
https://search.yahoo.com/,1000,24,3,825214
https://sede.agenciatributaria.gob.es/,1000,19,3,2433641
https://select.mamastar.jp/,1000,110,26,4899536
https://sellercentral.amazon.com/,1000,53,10,1399446
https://services.gst.gov.in/,1000,32,2,588730
https://sex.lenlut.tv/,1000,39,10,2543601
https://shopee.com.br/,1000,123,8,2017277
